competition_id,category,round,match_number,date,weekday,time,home_alias,home_official,away_alias,away_official,venue,status,raw_line
paulista_sub11_2026,Sub-11,1,1,28/mar,sáb,14 h 30,JOSÉ BONIFÁCIO EC,JOSÉ BONIFÁCIO ESPORTE CLUBE,CA PENAPOLENSE,CLUBE ATLÉTICO PENAPOLENSE,José Bonifácio,scheduled,001 28/mar - sáb 14 h 30 JOSÉ BONIFÁCIO EC X CA PENAPOLENSE José Bonifácio
paulista_sub11_2026,Sub-11,1,2,28/mar,sáb,14 h 30,OLÍMPIA FC,OLÍMPIA FUTEBOL CLUBE,MIRASSOL FC,MIRASSOL FUTEBOL CLUBE,Olímpia,scheduled,002 28/mar - sáb 14 h 30 OLÍMPIA FC X MIRASSOL FC Olímpia
paulista_sub11_2026,Sub-11,1,3,28/mar,sáb,14 h 30,CA LINENSE,CLUBE ATLÉTICO LINENSE,SANTA FÉ FC,SANTA FÉ FUTEBOL CLUBE LTDA.,Lins,scheduled,003 28/mar - sáb 14 h 30 CA LINENSE X SANTA FÉ FC Lins
paulista_sub11_2026,Sub-11,1,4,28/mar,sáb,14 h 30,GR. CATANDUVENSE,GRÊMIO CATANDUVENSE DE FUTEBOL,ARAÇATUBA FC SAF,ARAÇATUBA FUTEBOL CLUBE SAF,Catanduva,scheduled,004 28/mar - sáb 14 h 30 GR. CATANDUVENSE X ARAÇATUBA FC SAF Catanduva
paulista_sub11_2026,Sub-11,1,5,28/mar,sáb,14 h 30,AA ITARARÉ,ASSOCIAÇÃO ATLÉTICA ITARARÉ,PRES. PRUDENTE FC,PRESIDENTE PRUDENTE FUTEBOL CLUBE,Itararé,scheduled,005 28/mar - sáb 14 h 30 AA ITARARÉ X PRES. PRUDENTE FC Itararé
paulista_sub11_2026,Sub-11,1,6,28/mar,sáb,14 h 30,EC NOROESTE SAF,ESPORTE CLUBE NOROESTE SAF,CA ASSISENSE,CLUBE ATLÉTICO ASSISENSE,Iacanga,scheduled,006 28/mar - sáb 14 h 30 EC NOROESTE SAF X CA ASSISENSE Iacanga
paulista_sub11_2026,Sub-11,1,7,28/mar,sáb,14 h 30,EC XV DE JAÚ,ESPORTE CLUBE XV DE NOVEMBRO,TUPÃ FC,TUPÃ FUTEBOL CLUBE,Jaú,scheduled,007 28/mar - sáb 14 h 30 EC XV DE JAÚ X TUPÃ FC Jaú
paulista_sub11_2026,Sub-11,1,8,28/mar,sáb,14 h 30,BATATAIS FC,BATATAIS FUTEBOL CLUBE,BARRETOS EC,BARRETOS ESPORTE CLUBE,Batatais,scheduled,008 28/mar - sáb 14 h 30 BATATAIS FC X BARRETOS EC Batatais
paulista_sub11_2026,Sub-11,1,9,28/mar,sáb,14 h 30,I9 FUTEBOL CLUBE,I9 INTERNACIONAL ACADEMY,BOTAFOGO S/A,BOTAFOGO FUTEBOL S/A,Ribeirão Preto,scheduled,009 28/mar - sáb 14 h 30 I9 FUTEBOL CLUBE X BOTAFOGO S/A Ribeirão Preto
paulista_sub11_2026,Sub-11,1,10,28/mar,sáb,14 h 30,COMERCIAL FC - RP,COMERCIAL FUTEBOL CLUBE,LG FUTEBOL CLUBE,LG FUTEBOL CLUBE LTDA.,Ribeirão Preto,scheduled,010 28/mar - sáb 14 h 30 COMERCIAL FC - RP X LG FUTEBOL CLUBE Ribeirão Preto
paulista_sub11_2026,Sub-11,1,11,28/mar,sáb,14 h 30,SE MATONENSE,SOCIEDADE ESPORTIVA MATONENSE,CA TAQUARITINGA,CLUBE ATLÉTICO TAQUARITINGA,Matão,scheduled,011 28/mar - sáb 14 h 30 SE MATONENSE X CA TAQUARITINGA Matão
paulista_sub11_2026,Sub-11,1,12,28/mar,sáb,14 h 30,PORTO FOOT BALL LTDA,PORTO FOOT BALL LTDA.,SPORT CLUBE AGUAÍ,SPORT CLUBE AGUAÍ,Porto Ferreira,scheduled,012 28/mar - sáb 14 h 30 PORTO FOOT BALL LTDA X SPORT CLUBE AGUAÍ Porto Ferreira
paulista_sub11_2026,Sub-11,1,13,28/mar,sáb,14 h 30,RIO CLARO FC,RIO CLARO FUTEBOL CLUBE,PALMEIRAS FC,PALMEIRAS FUTEBOL CLUBE,Rio Claro,scheduled,013 28/mar - sáb 14 h 30 RIO CLARO FC X PALMEIRAS FC Rio Claro
paulista_sub11_2026,Sub-11,1,14,28/mar,sáb,14 h 30,AMPARO AC,AMPARO ATHÉTICO CLUB,GUARANI FC,GUARANI FUTEBOL CLUBE,Amparo,scheduled,014 28/mar - sáb 14 h 30 AMPARO AC X GUARANI FC Amparo
paulista_sub11_2026,Sub-11,1,15,28/mar,sáb,14 h 30,UA BARBARENSE FC,UNIÃO AGRÍCOLA BARBARENSE FUTEBOL CLUBE - SANTA BÁRBARA D'OESTE,COSMOPOLITANO SPORTS,COSMOPOLITANO SPORTS LTDA.,Santa Bárbara D'Oeste,scheduled,015 28/mar - sáb 14 h 30 UA BARBARENSE FC X COSMOPOLITANO SPORTS Santa Bárbara D'Oeste
paulista_sub11_2026,Sub-11,1,16,28/mar,sáb,14 h 30,AA INTER LIMEIRA,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL LIMEIRA,MACABI HOLAMBRA,MACABI HOLAMBRA ESPORTE CLUBE,Limeira,scheduled,016 28/mar - sáb 14 h 30 AA INTER LIMEIRA X MACABI HOLAMBRA Limeira
paulista_sub11_2026,Sub-11,1,17,28/mar,sáb,14 h 30,RIO BRANCO EC,RIO BRANCO ESPORTE CLUBE,INDEPENDENTE FC,INDEPENDENTE FUTEBOL CLUBE,Americana,scheduled,017 28/mar - sáb 14 h 30 RIO BRANCO EC X INDEPENDENTE FC Americana
paulista_sub11_2026,Sub-11,1,18,28/mar,sáb,14 h 30,SC PAULINENSE,SPORTING CLUB PAULINENSE,PRIMAVERA SAF,PRIMAVERA SAF,Paulínia,scheduled,018 28/mar - sáb 14 h 30 SC PAULINENSE X PRIMAVERA SAF Paulínia
paulista_sub11_2026,Sub-11,1,19,28/mar,sáb,14 h 30,SÃO BERNARDO FC,SÃO BERNARDO FUTEBOL CLUBE LTDA.,RED BULL BRAGANTINO,RED BULL BRAGANTINO FUTEBOL LTDA.,Itatiba,scheduled,019 28/mar - sáb 14 h 30 SÃO BERNARDO FC X RED BULL BRAGANTINO Itatiba
paulista_sub11_2026,Sub-11,1,20,28/mar,sáb,14 h 30,SFERA SAF,SFERA SAF,VALINHOS EC,VALINHOS ESPORTE CLUBE LTDA.,Jarinu,scheduled,020 28/mar - sáb 14 h 30 SFERA SAF X VALINHOS EC Jarinu
paulista_sub11_2026,Sub-11,1,21,28/mar,sáb,14 h 30,DS SPORTS LTDA,DIFFERENT SYSTEM SPORTS LTDA.,VALINHOS HYPER FC S.A.F,VALINHOS HYPER FUTEBOL CLUBE SAF,Atibaia,scheduled,021 28/mar - sáb 14 h 30 DS SPORTS LTDA X VALINHOS HYPER FC S.A.F Atibaia
