competition_category,group,official_name,alias
Sub-11,1,ARAÇATUBA FUTEBOL CLUBE SAF,ARAÇATUBA FC SAF
Sub-11,1,CLUBE ATLÉTICO LINENSE,CA LINENSE
Sub-11,1,CLUBE ATLÉTICO PENAPOLENSE,CA PENAPOLENSE
Sub-11,1,GRÊMIO CATANDUVENSE DE FUTEBOL,GR. CATANDUVENSE
Sub-11,1,JOSÉ BONIFÁCIO ESPORTE CLUBE,JOSÉ BONIFÁCIO EC
Sub-11,1,MIRASSOL FUTEBOL CLUBE,MIRASSOL FC
Sub-11,1,OLÍMPIA FUTEBOL CLUBE,OLÍMPIA FC
Sub-11,1,SANTA FÉ FUTEBOL CLUBE LTDA.,SANTA FÉ FC
Sub-11,2,ASSOCIAÇÃO ATLÉTICA ITARARÉ,AA ITARARÉ
Sub-11,2,CLUBE ATLÉTICO ASSISENSE,CA ASSISENSE
Sub-11,2,ESPORTE CLUBE NOROESTE SAF,EC NOROESTE SAF
Sub-11,2,ESPORTE CLUBE XV DE NOVEMBRO,EC XV DE JAÚ
Sub-11,2,MARÍLIA ATLÉTICO CLUBE,MARÍLIA AC
Sub-11,2,PRESIDENTE PRUDENTE FUTEBOL CLUBE,PRES. PRUDENTE FC
Sub-11,2,TUPÃ FUTEBOL CLUBE,TUPÃ FC
Sub-11,3,ASSOCIAÇÃO ATLÉTICA FRANCANA,AA FRANCANA
Sub-11,3,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL BEBEDOURO,AA INTER BEBEDOURO
Sub-11,3,BARRETOS ESPORTE CLUBE,BARRETOS EC
Sub-11,3,BATATAIS FUTEBOL CLUBE,BATATAIS FC
Sub-11,3,BOTAFOGO FUTEBOL S/A,BOTAFOGO S/A
Sub-11,3,COMERCIAL FUTEBOL CLUBE,COMERCIAL FC - RP
Sub-11,3,I9 INTERNACIONAL ACADEMY,I9 FUTEBOL CLUBE
Sub-11,3,LG FUTEBOL CLUBE LTDA.,LG FUTEBOL CLUBE
Sub-11,4,ASSOCIAÇÃO ESPORTIVA VELO CLUBE RIOCLARENSE - RIO CLARO,AE VELO CLUBE
Sub-11,4,CLUBE ATLÉTICO TAQUARITINGA,CA TAQUARITINGA
Sub-11,4,PALMEIRAS FUTEBOL CLUBE,PALMEIRAS FC
Sub-11,4,PORTO FOOT BALL LTDA.,PORTO FOOT BALL LTDA
Sub-11,4,RIO CLARO FUTEBOL CLUBE,RIO CLARO FC
Sub-11,4,SÃO CARLOS FUTEBOL LTDA.,SÃO CARLOS FL
Sub-11,4,SOCIEDADE ESPORTIVA MATONENSE,SE MATONENSE
Sub-11,4,SPORT CLUBE AGUAÍ,SPORT CLUBE AGUAÍ
Sub-11,5,AMPARO ATHÉTICO CLUB,AMPARO AC
Sub-11,5,ASSOCIAÇÃO ATLÉTICA INTERNACIONAL LIMEIRA,AA INTER LIMEIRA
Sub-11,5,COSMOPOLITANO SPORTS LTDA.,COSMOPOLITANO SPORTS
Sub-11,5,GUARANI FUTEBOL CLUBE,GUARANI FC
Sub-11,5,INDEPENDENTE FUTEBOL CLUBE,INDEPENDENTE FC
Sub-11,5,MACABI HOLAMBRA ESPORTE CLUBE,MACABI HOLAMBRA
Sub-11,5,RIO BRANCO ESPORTE CLUBE,RIO BRANCO EC
Sub-11,5,UNIÃO AGRÍCOLA BARBARENSE FUTEBOL CLUBE - SANTA BÁRBARA D'OESTE,UA BARBARENSE FC
Sub-11,6,DIFFERENT SYSTEM SPORTS LTDA.,DS SPORTS LTDA
Sub-11,6,PRIMAVERA SAF,PRIMAVERA SAF
Sub-11,6,RED BULL BRAGANTINO FUTEBOL LTDA.,RED BULL BRAGANTINO
Sub-11,6,SÃO BERNARDO FUTEBOL CLUBE LTDA.,SÃO BERNARDO FC
Sub-11,6,SFERA SAF,SFERA SAF
Sub-11,6,SPORTING CLUB PAULINENSE,SC PAULINENSE
Sub-11,6,VALINHOS ESPORTE CLUBE LTDA.,VALINHOS EC
